Start             End               Sif   SrcIPaddress    SrcP  DIf   DstIPaddress    DstP    P Fl Pkts       Octets
0416.05:22:49.972 0416.05:22:49.983 0     192.168.0.107   37330 0     192.168.0.203   18    6   2  1          44        
0416.05:22:49.972 0416.05:22:49.983 0     192.168.0.203   18    0     192.168.0.107   37330 6   4  1          46        
0416.05:19:56.369 0416.05:19:59.373 0     192.168.0.182   58072 0     239.255.255.250 1900  17  0  4          812       
0416.05:20:46.155 0416.05:20:49.229 0     192.168.0.164   63556 0     239.255.255.250 1900  17  0  4          812       
0416.05:20:53.006 0416.05:20:53.038 0     68.105.28.11    53    0     192.168.0.107   20828 17  0  1          181       
0416.05:20:53.006 0416.05:20:53.038 0     192.168.0.107   20828 0     68.105.28.11    53    17  0  1          70        
0416.05:20:53.006 0416.05:20:53.038 0     68.105.29.11    53    0     192.168.0.107   20828 17  0  1          181       
0416.05:20:53.006 0416.05:20:53.038 0     192.168.0.107   20828 0     68.105.29.11    53    17  0  1          70        
0416.05:20:53.007 0416.05:20:53.038 0     68.105.28.12    53    0     192.168.0.107   20828 17  0  1          181       
0416.05:20:53.007 0416.05:20:53.038 0     192.168.0.107   20828 0     68.105.28.12    53    17  0  1          70        
0416.05:20:53.007 0416.05:20:53.038 0     68.105.29.11    53    0     192.168.0.107   48112 17  0  1          193       
0416.05:20:53.007 0416.05:20:53.038 0     192.168.0.107   48112 0     68.105.29.11    53    17  0  1          70        
0416.05:20:54.265 0416.05:20:54.460 0     68.105.29.11    53    0     192.168.0.107   44264 17  0  1          107       
0416.05:20:54.265 0416.05:20:54.460 0     192.168.0.107   44264 0     68.105.29.11    53    17  0  1          61        
0416.05:20:54.265 0416.05:20:54.460 0     68.105.29.11    53    0     192.168.0.107   25776 17  0  1          136       
0416.05:20:54.265 0416.05:20:54.460 0     192.168.0.107   25776 0     68.105.29.11    53    17  0  1          61        
0416.05:20:54.822 0416.05:20:55.072 0     68.105.29.11    53    0     192.168.0.107   43020 17  0  1          107       
0416.05:20:54.822 0416.05:20:55.072 0     192.168.0.107   43020 0     68.105.29.11    53    17  0  1          61        
0416.05:20:54.822 0416.05:20:55.072 0     68.105.29.11    53    0     192.168.0.107   52045 17  0  1          136       
0416.05:20:54.822 0416.05:20:55.072 0     192.168.0.107   52045 0     68.105.29.11    53    17  0  1          61        
0416.05:20:55.146 0416.05:20:55.162 0     68.105.29.11    53    0     192.168.0.107   53092 17  0  1          174       
0416.05:20:55.146 0416.05:20:55.162 0     192.168.0.107   53092 0     68.105.29.11    53    17  0  1          71        
0416.05:20:55.146 0416.05:20:55.163 0     68.105.29.11    53    0     192.168.0.107   54891 17  0  1          186       
0416.05:20:55.146 0416.05:20:55.163 0     192.168.0.107   54891 0     68.105.29.11    53    17  0  1          71        
0416.05:20:55.224 0416.05:20:55.272 0     68.105.29.11    53    0     192.168.0.107   22116 17  0  1          116       
0416.05:20:55.224 0416.05:20:55.272 0     192.168.0.107   22116 0     68.105.29.11    53    17  0  1          73        
0416.05:20:55.224 0416.05:20:55.281 0     68.105.29.11    53    0     192.168.0.107   15340 17  0  1          182       
0416.05:20:55.224 0416.05:20:55.281 0     192.168.0.107   15340 0     68.105.29.11    53    17  0  1          73        
0416.05:20:55.318 0416.05:20:55.329 0     68.105.29.11    53    0     192.168.0.107   45294 17  0  1          181       
0416.05:20:55.318 0416.05:20:55.329 0     192.168.0.107   45294 0     68.105.29.11    53    17  0  1          70        
0416.05:20:55.318 0416.05:20:55.329 0     68.105.29.11    53    0     192.168.0.107   46264 17  0  1          193       
0416.05:20:55.318 0416.05:20:55.329 0     192.168.0.107   46264 0     68.105.29.11    53    17  0  1          70        
0416.05:20:55.447 0416.05:20:55.463 0     68.105.29.11    53    0     192.168.0.107   9828  17  0  1          159       
0416.05:20:55.447 0416.05:20:55.463 0     192.168.0.107   9828  0     68.105.29.11    53    17  0  1          60        
0416.05:20:55.447 0416.05:20:55.463 0     68.105.29.11    53    0     192.168.0.107   45878 17  0  1          183       
0416.05:20:55.447 0416.05:20:55.463 0     192.168.0.107   45878 0     68.105.29.11    53    17  0  1          60        
0416.05:20:55.645 0416.05:20:55.660 0     68.105.29.11    53    0     192.168.0.107   49507 17  0  1          153       
0416.05:20:55.645 0416.05:20:55.660 0     192.168.0.107   49507 0     68.105.29.11    53    17  0  1          72        
0416.05:20:55.645 0416.05:20:55.660 0     68.105.29.11    53    0     192.168.0.107   27265 17  0  1          153       
0416.05:20:55.645 0416.05:20:55.660 0     192.168.0.107   27265 0     68.105.29.11    53    17  0  1          72        
0416.05:20:55.660 0416.05:20:55.677 0     68.105.29.11    53    0     192.168.0.107   19943 17  0  1          153       
0416.05:20:55.660 0416.05:20:55.677 0     192.168.0.107   19943 0     68.105.29.11    53    17  0  1          72        
