Start,End,Sif,SrcIPaddress,SrcP,DIf,DstIPaddress,DstP,P,Fl,Pkts,Octets
0416.05:21:15.533,0416.05:21:15.548,0,192.168.0.107,1670,0,68.105.29.11,53,17,0,1,70
0416.05:22:00.293,0416.05:22:11.768,0,192.168.0.107,38534,0,18.238.85.87,443,6,3,27,2659
0416.05:21:08.514,0416.05:21:08.529,0,192.168.0.107,45277,0,68.105.29.11,53,17,0,1,55
0416.05:22:49.969,0416.05:22:49.982,0,192.168.0.107,37330,0,192.168.0.203,8,6,2,1,44
0416.05:22:49.971,0416.05:22:49.982,0,192.168.0.107,37330,0,192.168.0.203,16,6,2,1,44
0416.05:21:09.991,0416.05:21:10.013,0,192.168.0.107,42901,0,68.105.29.11,53,17,0,1,58
0416.05:21:07.967,0416.05:21:07.985,0,192.168.0.107,43414,0,68.105.29.11,53,17,0,1,53
0416.05:21:11.888,0416.05:21:11.900,0,192.168.0.107,3831,0,68.105.29.11,53,17,0,1,69
0416.05:21:52.662,0416.05:21:52.672,0,192.168.0.107,18743,0,68.105.29.11,53,17,0,1,60
0416.05:21:18.780,0416.05:21:18.795,0,192.168.0.107,19369,0,68.105.29.11,53,17,0,1,57
0416.05:21:58.321,0416.05:21:58.333,0,192.168.0.107,5040,0,68.105.29.11,53,17,0,1,81
0416.05:21:50.525,0416.05:22:11.810,0,192.168.0.107,34156,0,54.148.104.94,443,6,3,14,1881
0416.05:21:52.745,0416.05:21:52.769,0,192.168.0.107,31351,0,68.105.29.11,53,17,0,1,70
0416.05:21:51.632,0416.05:22:11.762,0,192.168.0.107,58812,0,142.251.2.157,443,6,3,34,4094
0416.05:21:19.915,0416.05:22:11.767,0,192.168.0.107,40284,0,18.155.173.112,443,6,3,92,7168
0416.05:21:19.646,0416.05:21:19.661,0,192.168.0.107,57556,0,68.105.29.11,53,17,0,1,60
0416.05:21:53.304,0416.05:21:53.317,0,192.168.0.107,63396,0,68.105.29.11,53,17,0,1,70
0416.05:22:49.971,0416.05:22:49.982,0,192.168.0.107,37330,0,192.168.0.203,5,6,2,1,44
0416.05:21:11.578,0416.05:21:11.595,0,192.168.0.107,45488,0,68.105.29.11,53,17,0,1,65
0416.05:21:49.387,0416.05:21:49.406,0,192.168.0.107,33892,0,68.105.29.11,53,17,0,1,66
0416.05:21:08.515,0416.05:21:08.542,0,192.168.0.107,46676,0,68.105.29.11,53,17,0,1,70
0416.05:21:47.725,0416.05:22:11.767,0,192.168.0.107,36116,0,18.155.173.104,443,6,3,138,13594
0416.05:21:59.202,0416.05:21:59.217,0,192.168.0.107,33750,0,68.105.29.11,53,17,0,1,60
0416.05:22:49.968,0416.05:22:49.982,0,192.168.0.107,37330,0,192.168.0.203,11,6,2,1,44
0416.05:21:43.383,0416.05:21:43.406,0,192.168.0.107,62712,0,68.105.29.11,53,17,0,1,79
0416.05:21:28.420,0416.05:21:28.438,0,192.168.0.107,46189,0,68.105.29.11,53,17,0,1,57
