Start             End               Sif   SrcIPaddress    SrcP  DIf   DstIPaddress    DstP    P Fl Pkts       Octets
0306.00:38:00.178 0306.00:38:00.178 0     192.168.0.107   56176 0     192.168.0.203   4967  6   2  1          60        
0306.00:38:00.178 0306.00:38:00.178 0     192.168.0.203   4967  0     192.168.0.107   56176 6   4  1          40        
0306.00:38:00.178 0306.00:38:00.178 0     192.168.0.107   39724 0     192.168.0.203   4353  6   2  1          60        
0306.00:38:00.178 0306.00:38:00.178 0     192.168.0.203   4353  0     192.168.0.107   39724 6   4  1          40        
0306.00:38:00.178 0306.00:38:00.178 0     192.168.0.107   35958 0     192.168.0.203   50    6   2  1          60        
0306.00:38:00.178 0306.00:38:00.178 0     192.168.0.203   50    0     192.168.0.107   35958 6   4  1          40        
0306.00:38:00.178 0306.00:38:00.178 0     192.168.0.107   34116 0     192.168.0.203   2929  6   2  1          60        
0306.00:38:00.178 0306.00:38:00.178 0     192.168.0.203   2929  0     192.168.0.107   34116 6   4  1          40        
0306.00:38:00.178 0306.00:38:00.178 0     192.168.0.107   54616 0     192.168.0.203   4768  6   2  1          60        
0306.00:38:00.178 0306.00:38:00.178 0     192.168.0.203   4768  0     192.168.0.107   54616 6   4  1          40        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.107   47966 0     192.168.0.203   2449  6   2  1          60        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.203   2449  0     192.168.0.107   47966 6   4  1          40        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.107   49298 0     192.168.0.203   2301  6   2  1          60        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.203   2301  0     192.168.0.107   49298 6   4  1          40        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.107   54530 0     192.168.0.203   4380  6   2  1          60        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.203   4380  0     192.168.0.107   54530 6   4  1          40        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.107   59136 0     192.168.0.203   1612  6   2  1          60        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.203   1612  0     192.168.0.107   59136 6   4  1          40        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.107   35704 0     192.168.0.203   2403  6   2  1          60        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.203   2403  0     192.168.0.107   35704 6   4  1          40        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.107   56590 0     192.168.0.203   2143  6   2  1          60        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.203   2143  0     192.168.0.107   56590 6   4  1          40        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.107   50896 0     192.168.0.203   301   6   2  1          60        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.203   301   0     192.168.0.107   50896 6   4  1          40        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.107   33320 0     192.168.0.203   2111  6   2  1          60        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.203   2111  0     192.168.0.107   33320 6   4  1          40        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.107   47530 0     192.168.0.203   4103  6   2  1          60        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.203   4103  0     192.168.0.107   47530 6   4  1          40        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.107   54150 0     192.168.0.203   2984  6   2  1          60        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.203   2984  0     192.168.0.107   54150 6   4  1          40        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.107   56598 0     192.168.0.203   1763  6   2  1          60        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.203   1763  0     192.168.0.107   56598 6   4  1          40        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.107   53192 0     192.168.0.203   2206  6   2  1          60        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.203   2206  0     192.168.0.107   53192 6   4  1          40        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.107   44684 0     192.168.0.203   88    6   2  1          60        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.203   88    0     192.168.0.107   44684 6   4  1          40        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.107   60892 0     192.168.0.203   3043  6   2  1          60        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.203   3043  0     192.168.0.107   60892 6   4  1          40        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.107   51316 0     192.168.0.203   3132  6   2  1          60        
0306.00:38:00.179 0306.00:38:00.179 0     192.168.0.203   3132  0     192.168.0.107   51316 6   4  1          40        
0306.00:38:00.181 0306.00:38:00.181 0     192.168.0.107   35482 0     192.168.0.203   4603  6   2  1          60        
0306.00:38:00.181 0306.00:38:00.181 0     192.168.0.203   4603  0     192.168.0.107   35482 6   4  1          40        
0306.00:38:00.185 0306.00:38:00.185 0     192.168.0.107   37492 0     192.168.0.203   4807  6   2  1          60        
0306.00:38:00.185 0306.00:38:00.185 0     192.168.0.203   4807  0     192.168.0.107   37492 6   4  1          40        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.107   43612 0     192.168.0.203   1388  6   2  1          60        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.203   1388  0     192.168.0.107   43612 6   4  1          40        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.107   32830 0     192.168.0.203   848   6   2  1          60        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.203   848   0     192.168.0.107   32830 6   4  1          40        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.107   59864 0     192.168.0.203   1223  6   2  1          60        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.203   1223  0     192.168.0.107   59864 6   4  1          40        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.107   45914 0     192.168.0.203   1258  6   2  1          60        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.203   1258  0     192.168.0.107   45914 6   4  1          40        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.107   53720 0     192.168.0.203   4194  6   2  1          60        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.203   4194  0     192.168.0.107   53720 6   4  1          40        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.107   57994 0     192.168.0.203   1310  6   2  1          60        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.203   1310  0     192.168.0.107   57994 6   4  1          40        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.107   48076 0     192.168.0.203   4452  6   2  1          60        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.203   4452  0     192.168.0.107   48076 6   4  1          40        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.107   37532 0     192.168.0.203   1795  6   2  1          60        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.203   1795  0     192.168.0.107   37532 6   4  1          40        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.107   59048 0     192.168.0.203   2323  6   2  1          60        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.203   2323  0     192.168.0.107   59048 6   4  1          40        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.107   38200 0     192.168.0.203   1234  6   2  1          60        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.203   1234  0     192.168.0.107   38200 6   4  1          40        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.107   37654 0     192.168.0.203   642   6   2  1          60        
0306.00:38:00.186 0306.00:38:00.186 0     192.168.0.203   642   0     192.168.0.107   37654 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   35946 0     192.168.0.203   4481  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   4481  0     192.168.0.107   35946 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   55294 0     192.168.0.203   3532  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   3532  0     192.168.0.107   55294 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   44102 0     192.168.0.203   1116  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   1116  0     192.168.0.107   44102 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   55190 0     192.168.0.203   3639  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   3639  0     192.168.0.107   55190 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   38856 0     192.168.0.203   3887  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   3887  0     192.168.0.107   38856 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   38360 0     192.168.0.203   4740  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   4740  0     192.168.0.107   38360 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   41498 0     192.168.0.203   2122  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   2122  0     192.168.0.107   41498 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   50800 0     192.168.0.203   3400  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   3400  0     192.168.0.107   50800 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   41586 0     192.168.0.203   2231  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   2231  0     192.168.0.107   41586 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   37524 0     192.168.0.203   533   6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   533   0     192.168.0.107   37524 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   43032 0     192.168.0.203   1721  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   1721  0     192.168.0.107   43032 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   54648 0     192.168.0.203   2916  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   2916  0     192.168.0.107   54648 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   57534 0     192.168.0.203   695   6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   695   0     192.168.0.107   57534 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   46722 0     192.168.0.203   4131  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   4131  0     192.168.0.107   46722 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   39542 0     192.168.0.203   3954  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   3954  0     192.168.0.107   39542 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   56416 0     192.168.0.203   1159  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   1159  0     192.168.0.107   56416 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   48516 0     192.168.0.203   1469  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   1469  0     192.168.0.107   48516 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   50356 0     192.168.0.203   1228  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   1228  0     192.168.0.107   50356 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   42792 0     192.168.0.203   2611  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   2611  0     192.168.0.107   42792 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   37072 0     192.168.0.203   880   6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   880   0     192.168.0.107   37072 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   43814 0     192.168.0.203   3275  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   3275  0     192.168.0.107   43814 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   59104 0     192.168.0.203   2871  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   2871  0     192.168.0.107   59104 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   35104 0     192.168.0.203   1318  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   1318  0     192.168.0.107   35104 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   40606 0     192.168.0.203   1176  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   1176  0     192.168.0.107   40606 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   39724 0     192.168.0.203   4798  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   4798  0     192.168.0.107   39724 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   58196 0     192.168.0.203   3595  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   3595  0     192.168.0.107   58196 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   53840 0     192.168.0.203   3164  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   3164  0     192.168.0.107   53840 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   40666 0     192.168.0.203   870   6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   870   0     192.168.0.107   40666 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   40722 0     192.168.0.203   3295  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   3295  0     192.168.0.107   40722 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   55972 0     192.168.0.203   4985  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   4985  0     192.168.0.107   55972 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   39478 0     192.168.0.203   2531  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   2531  0     192.168.0.107   39478 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   52088 0     192.168.0.203   3565  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   3565  0     192.168.0.107   52088 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   45962 0     192.168.0.203   3566  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   3566  0     192.168.0.107   45962 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   48802 0     192.168.0.203   1344  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   1344  0     192.168.0.107   48802 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   35926 0     192.168.0.203   2120  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   2120  0     192.168.0.107   35926 6   4  1          40        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.107   51046 0     192.168.0.203   3830  6   2  1          60        
0306.00:38:00.187 0306.00:38:00.187 0     192.168.0.203   3830  0     192.168.0.107   51046 6   4  1          40        
