Start             End               Sif   SrcIPaddress    SrcP  DIf   DstIPaddress    DstP    P Fl Pkts       Octets
0304.16:16:58.777 0304.16:16:58.777 0     192.168.0.203   1852  0     192.168.0.107   52422 6   4  1          40        
0304.16:16:58.777 0304.16:16:58.777 0     192.168.0.107   37924 0     192.168.0.203   703   6   2  1          60        
0304.16:16:58.777 0304.16:16:58.777 0     192.168.0.203   703   0     192.168.0.107   37924 6   4  1          40        
0304.16:16:58.781 0304.16:16:58.781 0     192.168.0.107   51366 0     192.168.0.203   908   6   2  1          60        
0304.16:16:58.781 0304.16:16:58.781 0     192.168.0.203   908   0     192.168.0.107   51366 6   4  1          40        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.107   50262 0     192.168.0.203   692   6   2  1          60        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.203   692   0     192.168.0.107   50262 6   4  1          40        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.107   41826 0     192.168.0.203   1156  6   2  1          60        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.203   1156  0     192.168.0.107   41826 6   4  1          40        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.107   38324 0     192.168.0.203   1423  6   2  1          60        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.203   1423  0     192.168.0.107   38324 6   4  1          40        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.107   59666 0     192.168.0.203   2069  6   2  1          60        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.203   2069  0     192.168.0.107   59666 6   4  1          40        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.107   45566 0     192.168.0.203   2728  6   2  1          60        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.203   2728  0     192.168.0.107   45566 6   4  1          40        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.107   59718 0     192.168.0.203   3025  6   2  1          60        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.203   3025  0     192.168.0.107   59718 6   4  1          40        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.107   34222 0     192.168.0.203   1710  6   2  1          60        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.203   1710  0     192.168.0.107   34222 6   4  1          40        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.107   57008 0     192.168.0.203   307   6   2  1          60        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.203   307   0     192.168.0.107   57008 6   4  1          40        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.107   36954 0     192.168.0.203   167   6   2  1          60        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.203   167   0     192.168.0.107   36954 6   4  1          40        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.107   60230 0     192.168.0.203   4659  6   2  1          60        
0304.16:16:58.782 0304.16:16:58.782 0     192.168.0.203   4659  0     192.168.0.107   60230 6   4  1          40        
0304.16:16:58.788 0304.16:16:58.788 0     192.168.0.107   56960 0     192.168.0.203   4463  6   2  1          60        
0304.16:16:58.788 0304.16:16:58.788 0     192.168.0.203   4463  0     192.168.0.107   56960 6   4  1          40        
0304.16:16:58.788 0304.16:16:58.788 0     192.168.0.107   42742 0     192.168.0.203   3188  6   2  1          60        
0304.16:16:58.788 0304.16:16:58.788 0     192.168.0.203   3188  0     192.168.0.107   42742 6   4  1          40        
